Time,Channel B,Channel C
(ms),(V),(mV)

-0.31192126,7.80124500,-35.43523000
-0.06192128,7.84275400,-8.16444800
0.18807870,7.81681100,24.79856000
0.43807869,7.75424200,48.68148000
0.68807867,7.64528100,82.43803000
0.93807865,7.51007200,116.43880000
1.18807863,7.28665600,145.78500000
1.43807862,7.03729700,175.11600000
1.68807860,6.77756100,204.18750000
1.93807858,6.42931300,233.27430000
2.18807857,6.06549900,260.78920000
2.43807855,5.62385600,287.00700000
2.68807853,5.15108100,311.14940000
2.93807851,4.68868300,321.02310000
3.18807850,4.14296200,352.17000000
3.43807848,3.64424400,364.37850000
3.68807846,3.06739100,382.27930000
3.93807845,2.50122100,395.26610000
4.18807843,1.93993400,407.45940000
4.43807841,1.32676100,417.59240000
4.68807839,0.75509700,421.74330000
4.93807838,0.13704060,426.93190000
5.18807836,-0.47094370,436.54620000
5.43807834,-1.08411700,437.58390000
5.68807832,-1.68691200,424.59710000
5.93807831,-2.24819900,409.55010000
6.18807829,-2.84031200,399.41700000
6.43807827,-3.40159900,379.42560000
6.68807826,-3.96807500,369.30770000
6.93807824,-4.46160400,350.35400000
7.18807822,-4.93437900,326.47110000
7.43807820,-5.41264800,304.66360000
7.68807819,-5.83872600,279.22420000
7.93807817,-6.23855400,254.56290000
8.18807815,-6.60755700,226.51380000
8.43807814,-6.90391900,198.22060000
8.68807812,-7.18959800,167.85190000
8.93807810,-7.40782500,140.06230000
9.18807808,-7.55860100,105.54270000
9.43807807,-7.70907100,71.52667000
9.68807805,-7.78720500,38.82310000
9.93807803,-7.83909200,6.36369100
10.18807801,-7.80796000,-21.41069000
10.43807800,-7.77163900,-40.36442000
10.68807798,-7.67793900,-77.99718000
10.93807796,-7.50640900,-110.45660000
11.18807795,-7.30893700,-142.38190000
11.43807793,-7.08033200,-170.17150000
11.68807791,-6.77908700,-200.02130000
11.93807789,-6.49340700,-227.79570000
12.18807788,-6.10883900,-256.08900000
12.43807786,-5.66719600,-283.10030000
12.68807784,-5.22555300,-306.98320000
12.93807783,-4.75766100,-329.56900000
13.18807781,-4.25375400,-349.56050000
13.43807779,-3.70315000,-361.49430000
13.68807777,-3.14186300,-381.48570000
13.93807776,-2.60651900,-397.58570000
14.18807774,-2.00402900,-411.61030000
14.43807772,-1.39604400,-420.94980000
14.68807770,-0.78806010,-425.36010000
14.93807769,-0.18526430,-432.10530000
15.18807767,0.43309730,-440.42240000
15.43807765,1.02551600,-437.56860000
15.68807764,1.64387700,-430.02990000
15.93807762,2.21004700,-413.42630000
16.18807760,2.80765500,-401.21780000
16.43807758,3.36894200,-386.67440000
16.68807757,3.92473400,-368.77360000
16.93807755,4.44970100,-349.30110000
17.18807753,4.93285300,-327.23410000
17.43807751,5.39006200,-308.28040000
17.68807750,5.86802600,-280.76540000
17.93807748,6.24221700,-255.05130000
18.18807746,6.56452200,-227.27690000
18.43807745,6.90208800,-198.98360000
18.68807743,7.18288400,-167.04310000
18.93807741,7.40630000,-137.45270000
19.18807739,7.60377200,-105.26800000
19.43807738,7.68679000,-66.32278000
19.68807736,7.80124500,-39.58613000
19.93807734,7.85832000,-8.68331100
20.18807733,7.83237700,22.20425000
20.43807731,7.75943100,49.45977000
20.68807729,7.66603600,78.28713000
20.93807727,7.51526100,112.02840000
21.18807726,7.31259900,141.87830000
21.43807724,7.08399400,172.52170000
21.68807722,6.77237200,199.25830000
21.93807720,6.46563300,227.29210000
22.18807719,6.09693600,255.86010000
22.43807717,5.68642400,283.63450000
22.68807715,5.25515800,308.29570000
22.93807714,4.73538000,329.58430000
23.18807712,4.25741700,348.79740000
23.43807710,3.74282700,366.71340000
23.68807708,3.16109100,379.16610000
23.93807707,2.59980500,398.11980000
24.18807705,2.02295200,404.86510000
24.43807703,1.43083900,413.70100000
24.68807702,0.78653400,420.44620000
24.93807700,0.20968140,426.93190000
25.18807698,-0.39830300,435.50850000
25.43807696,-0.96996700,442.25370000
25.68807695,-1.58314000,426.15370000
25.93807693,-2.20119600,411.36610000
26.18807691,-2.74691700,401.49250000
26.43807689,-3.31858100,382.53880000
26.68807688,-3.85880800,369.30770000
26.93807686,-4.42009500,350.35400000
27.18807684,-4.87730400,329.06540000
27.43807683,-5.34489100,306.47960000
27.68807681,-5.78134500,282.59670000
27.93807679,-6.16591400,252.99110000
28.18807677,-6.54529300,231.45830000
28.43807676,-6.86729300,203.66860000
28.68807674,-7.15846600,172.26220000
28.93807672,-7.37150500,120.07080000
29.18807671,-7.55341200,109.95300000
29.43807669,-7.70388200,74.89928000
29.68807667,-7.78201700,41.93627000
29.93807665,-7.83390300,13.64302000
30.18807664,-7.79758300,-14.92492000
30.43807662,-7.78201700,-40.10499000
30.68807660,-7.68831600,-73.32742000
30.93807658,-7.54822300,-105.26800000
31.18807657,-7.35075100,-137.19330000
31.43807655,-7.12733500,-167.30250000
31.68807653,-6.83616200,-195.87050000
31.93807652,-6.51935100,-224.68260000
32.18807650,-6.15553700,-252.97580000
32.43807648,-5.76577900,-276.85870000
32.68807646,-5.30338200,-303.87010000
32.93807645,-4.86173800,-327.49360000
33.18807643,-4.32639500,-346.44730000
33.43807641,-3.80173300,-364.60750000
33.68807639,-3.25082400,-379.66970000
33.93807638,-2.67946500,-394.73200000
34.18807636,-2.06110400,-409.00070000
34.43807634,-1.48425100,-416.02060000
34.68807633,-0.86588940,-424.58180000
34.93807631,-0.26309370,-434.45540000
35.18807629,0.33939690,-439.12520000
35.43807627,0.91624950,-443.27610000
35.68807626,1.57612000,-429.77040000
35.93807624,2.14778400,-415.24230000
36.18807622,2.74020300,-404.59040000
36.43807621,3.29080700,-387.71210000
36.68807619,3.86247100,-370.33020000
36.93807617,4.37156600,-351.37650000
37.18807615,4.85502400,-330.34730000
37.43807614,5.33298700,-308.53990000
37.68807612,5.80057400,-284.13810000
37.93807610,6.15401000,-258.69860000
38.18807608,6.53339000,-231.42780000
38.43807607,6.82425800,-202.61570000
38.68807605,7.12550400,-172.24700000
38.93807603,7.38035600,-141.60360000
39.18807602,7.54120300,-109.93770000
39.43807600,7.67641300,-77.21889000
39.68807598,7.78537400,-43.21816000
39.93807596,7.82718800,-13.62776000
40.18807595,7.82718800,13.38359000
40.43807593,7.80124500,42.97399000
40.68807591,7.71792200,74.63985000
40.93807590,7.55158100,107.87750000
41.18807588,7.36448500,136.68970000
41.43807586,7.11512600,166.29530000
41.68807584,6.82944700,195.36690000
41.93807583,6.52820200,226.25440000
42.18807581,6.13844400,253.25050000
42.43807579,5.74349900,279.48360000
42.68807577,5.32261000,304.40420000
42.93807576,4.82908100,327.24940000
43.18807574,4.32486900,346.72200000
43.43807572,3.79501900,364.37850000
43.68807571,3.21816600,371.38320000
43.93807569,2.67244500,392.41240000
44.18807567,2.09070900,403.82730000
44.43807565,1.47753600,411.10670000
44.68807564,0.87992920,419.40850000
44.93807562,0.27194480,425.63480000
45.18807560,-0.31528510,432.13590000
45.43807559,-0.91777560,452.63090000
45.68807557,-1.49981700,429.00740000
45.93807555,-2.10261200,413.70100000
46.18807553,-2.67427700,403.04900000
46.43807552,-3.24563600,391.11520000
46.68807550,-3.80173300,371.64260000
46.93807548,-4.30564000,351.91060000
47.18807546,-4.79428600,331.91910000
47.43807545,-5.29819300,310.63060000
47.68807543,-5.72427000,286.74760000
47.93807541,-6.13997100,261.82700000
48.18807540,-6.49859600,235.60920000
48.43807538,-6.80503000,208.07900000
48.68807536,-7.10658000,176.93200000
48.93807534,-7.34037400,146.04440000
49.18807533,-7.53784600,113.84450000
49.43807531,-7.68831600,80.88145000
49.68807529,-7.75607300,47.38432000
49.93807528,-7.83909200,16.75620000
