Time,Channel B,Channel C
(ms),(V),(V)

-0.49999997,-9.11854500,-5.41142700
-0.24999998,-10.04212000,-1.00720300
0.00000000,-9.87425200,0.28262730
0.24999998,-9.25528000,0.61836160
0.49999997,-8.23770000,0.94371870
0.74999995,-7.12611400,1.42595500
0.99999993,-5.96142100,2.38005100
1.24999991,-4.87059000,4.22598000
1.49999990,-3.93724800,6.96313000
1.74999988,-3.09791200,10.10927000
1.99999986,-2.20608000,13.22366000
2.24999984,-1.28311600,16.01331000
2.49999983,-0.27652300,18.16323000
2.74999981,0.86680500,19.26444000
2.99999979,2.33549000,18.78159000
3.24999978,3.64668500,18.25723000
3.49999976,4.65388800,17.99536000
3.74999974,5.63972700,16.86241000
3.99999972,6.68843800,14.39812000
4.24999971,7.94713700,10.09889000
4.49999969,9.38408000,4.18386000
4.74999967,10.04517000,0.58722980
4.99999966,9.76193300,-0.35709920
5.24999964,9.00683700,-0.66109140
5.49999962,7.98925600,-1.00720300
5.74999960,6.84592800,-1.53155900
5.99999959,5.74472000,-2.67427700
6.24999957,4.72713900,-4.66670800
6.49999955,3.80417500,-7.44597700
6.74999953,2.94408500,-10.57136000
6.99999952,2.05225300,-13.65401000
7.24999950,1.11891100,-16.36003000
7.49999948,0.11170800,-18.35246000
7.74999947,-1.10487100,-19.20217000
7.99999945,-2.56317900,-18.56245000
8.24999943,-3.81150000,-18.19497000
8.49999941,-4.82847000,-17.74448000
8.74999940,-5.80393100,-16.44366000
8.99999938,-6.83188900,-13.82188000
9.24999936,-8.13270700,-9.26016300
9.49999935,-9.56965000,-3.36650000
9.74999933,-10.07325000,-0.33573430
9.99999931,-9.66426600,0.40898550
10.24999929,-8.87742600,0.72335490
10.49999928,-7.84946900,1.09022100
10.74999926,-6.67500900,1.70919300
10.99999924,-5.54205800,2.99902300
11.24999922,-4.51410100,5.15932100
11.49999921,-3.62226800,8.07471600
11.74999919,-2.78354300,11.22085000
11.99999917,-1.84959100,14.27237000
12.24999916,-0.89488460,16.86241000
12.49999914,0.12208520,18.71872000
12.74999912,1.37040700,19.21194000
12.99999910,2.84946900,18.44646000
13.24999909,4.02453900,18.25723000
13.49999907,5.06287400,17.57600000
13.74999905,6.00659300,16.05543000
13.99999904,7.10841200,13.18154000
14.24999902,8.41960700,7.99047700
14.49999900,9.75155600,2.45391300
14.74999898,10.01343000,0.09400561
14.99999897,9.49945100,-0.51397870
15.24999895,8.62898300,-0.78683920
15.49999893,7.59064800,-1.17507000
15.74999891,6.44732000,-1.87767100
15.99999890,5.34611100,-3.29324900
16.24999888,4.34928600,-5.58967200
16.49999886,3.48919500,-8.58930500
16.74999885,2.60835100,-11.70370000
16.99999883,1.71651800,-14.69234000
17.24999881,0.76242210,-17.17800000
17.49999879,-0.28690030,-18.82432000
17.74999878,-1.59809500,-19.06544000
17.99999876,-3.07715800,-18.33171000
18.24999874,-4.16798900,-18.17422000
18.49999873,-5.15382700,-17.39836000
18.74999871,-6.17140800,-15.75143000
18.99999869,-7.27261600,-12.56379000
19.24999867,-8.70955900,-7.04736900
19.49999866,-9.94750300,-1.82517400
19.74999864,-10.03113000,0.06287389
19.99999862,-9.47564400,0.55548780
20.24999860,-8.52093800,0.85947990
20.49999859,-7.44048400,1.26846500
20.74999857,-6.26541300,2.05530500
20.99999855,-5.17458200,3.61738500
21.24999854,-4.22048600,6.13478200
21.49999852,-3.30789900,9.24917600
21.74999850,-2.40568900,12.40569000
21.99999848,-1.53522200,15.31071000
22.24999847,-0.58051520,17.67000000
22.49999845,0.55243560,19.13808000
22.74999843,1.91612700,19.02271000
22.99999841,3.33231600,18.29935000
23.24999840,4.38102800,18.21572000
23.49999838,5.37724300,17.25064000
23.74999836,6.36369200,15.31071000
23.99999835,7.56989400,11.50409000
24.24999833,9.00683700,5.77829300
24.49999831,10.01343000,1.19521400
24.74999829,9.88768100,-0.18923210
24.99999828,9.22720100,-0.58784030
25.24999826,8.28287100,-0.89183250
25.49999824,7.21279400,-1.41618800
25.74999823,6.00659300,-2.28665600
25.99999821,4.96825800,-4.00622600
26.24999819,4.04529300,-6.65974900
26.49999817,3.15346100,-9.70089100
26.74999816,2.28299400,-12.82566000
26.99999814,1.38078400,-15.64705000
27.24999812,0.41570010,-17.90136000
27.49999810,-0.73800510,-19.14968000
27.74999809,-2.13282900,-18.82432000
27.99999807,-3.49652100,-18.22671000
28.24999805,-4.53485500,-18.05885000
28.49999804,-5.51031600,-16.99976000
28.74999802,-6.51751900,-14.78696000
28.99999800,-7.78659500,-10.68673000
29.24999798,-9.24490300,-4.84556200
