Time,Channel B,Channel C
(ms),(V),(V)

-0.41891888,-8.17482600,-24.31327000
-0.16891890,-11.13295000,-0.22890980
0.08108108,-11.23733000,0.10987670
0.33108106,-11.07008000,0.44866320
0.58108105,-8.78342100,1.46349600
0.83108103,-6.01391700,3.25967500
1.08108101,-3.69551900,9.19606900
1.33108099,-2.03821300,18.36162000
1.58108098,-0.38090590,27.52716000
1.83108096,1.55902800,34.45245000
2.08108094,4.25528000,36.79648000
2.33108093,6.60481000,38.85362000
2.58108091,7.22378200,16.43572000
2.83108089,7.22378200,4.87425200
3.08108087,7.25491400,1.25595200
3.33108086,7.20241700,0.34489070
3.58108084,7.13954400,-0.12513730
3.83108082,7.06629200,-0.22890980
4.08108081,6.91917900,-0.30673910
4.33108079,5.83872600,-2.78049100
4.58108077,3.78281000,-8.40404100
4.83108075,2.24087400,-16.39757000
5.08108074,0.77279940,-24.02637000
5.33108072,-0.84299840,-29.75522000
5.58108070,-3.04541600,-31.52545000
5.83108068,-5.15382700,-31.39421000
6.08108067,-6.85325300,-29.05170000
6.33108065,-9.53851800,-18.61036000
6.58108063,-11.33195000,-0.61958250
6.83108062,-11.23733000,0.18770600
7.08108060,-10.33573000,0.99499450
7.33108058,-7.62910500,1.95794200
7.58108056,-4.91270900,5.05738000
7.83108055,-2.97216500,12.94561000
8.08108053,-1.36735400,22.44995000
8.33108051,0.35282630,30.91198000
8.58108050,2.58698600,35.96325000
8.83108048,5.41936300,37.31687000
9.08108046,7.88426300,35.96325000
9.33108044,7.24453600,10.39403000
9.58108043,7.25491400,2.76523000
9.83108041,7.29703300,0.73403730
10.08108039,7.21279400,0.08393358
10.33108037,7.14992000,-0.20296670
10.58108036,7.05591500,-0.15108050
10.83108034,6.92955700,-0.38456840
11.08108032,4.94750300,-4.55072600
11.33108031,3.14308400,-11.55537000
11.58108029,1.67500900,-19.57484000
11.83108027,0.13307290,-26.65578000
12.08108025,-1.66096900,-31.05695000
12.33108024,-3.96838000,-31.23855000
12.58108022,-5.67818300,-31.52545000
12.83108020,-7.59797300,-26.37041000
13.08108019,-11.46869000,-9.80954600
13.33108017,-11.19582000,-0.04578196
13.58108015,-11.04871000,0.21364910
13.83108013,-9.24490300,1.28189500
14.08108012,-6.45464500,2.81711600
14.33108010,-4.01049900,7.89433500
14.58108008,-2.27994100,16.90422000
14.83108006,-0.67513120,26.12013000
15.08108005,1.16103000,33.61922000
15.33108003,3.78281000,36.61335000
15.58108001,6.28983000,38.64455000
15.83108000,7.19204000,19.92431000
16.08107998,7.21279400,5.81125600
16.33107996,7.21279400,1.80228300
16.58107994,7.19204000,0.37083380
16.83107993,7.17128600,-0.04578196
17.08107991,7.05591500,-0.15108050
17.33107989,7.01379500,-0.28079600
17.58107988,6.21657900,-2.05103200
17.83107986,4.07703600,-7.18013700
18.08107984,2.48260300,-15.04395000
18.33107982,1.01391800,-22.82841000
18.58107981,-0.55976070,-28.97387000
18.83107979,-2.60468800,-31.49951000
19.08107977,-4.83945800,-31.16072000
19.33107975,-6.52789600,-29.64992000
19.58107974,-8.91954600,-21.31913000
19.83107972,-11.32157000,-1.26968600
20.08107970,-11.24832000,0.16176290
20.33107969,-10.72396000,0.55243560
20.58107967,-8.13270700,1.72445400
20.83107965,-5.34244900,4.14631900
21.08107963,-3.27615700,11.33256000
21.33107962,-1.62922700,20.75754000
21.58107960,0.02807960,29.58430000
21.83107958,2.14686800,35.52069000
22.08107956,4.97863500,37.08186000
22.33107955,7.31778800,37.68160000
22.58107953,7.21279400,11.85295000
22.83107951,7.28665600,3.88536200
23.08107950,7.23415900,0.89122210
23.33107948,7.19204000,0.08393358
23.58107946,7.09742400,-0.12513730
23.83107944,7.00341800,-0.28079600
24.08107943,6.86668300,-0.35862530
24.33107941,5.28323700,-3.79532400
24.58107939,3.39519000,-10.35740000
24.83107938,1.89476300,-18.32499000
25.08107936,0.39494570,-25.69283000
25.33107934,-1.30448100,-30.69222000
25.58107932,-3.63264600,-31.31638000
25.83107931,-5.44744200,-31.60328000
26.08107929,-7.24148500,-27.90563000
26.33107927,-10.63973000,-13.42937000
26.58107925,-11.34233000,-0.22890980
26.83107924,-11.25870000,0.18770600
27.08107922,-9.69600800,1.17812200
27.33107920,-6.91612700,2.34861400
27.58107919,-4.36698800,6.69790000
27.83107917,-2.56317900,15.28965000
28.08107915,-0.94738130,24.74057000
28.33107913,0.86680500,32.60438000
28.58107912,3.27981900,36.48364000
28.83107910,5.98583800,38.02039000
29.08107908,7.22378200,22.70938000
29.33107907,7.26529100,7.63490400
