Time,Channel B,Channel C
(ms),(V),(V)

-0.49999997,-6.69606900,-1.83982400
-0.24999998,-6.84135000,-1.07648600
0.00000000,-6.94542800,-0.47948970
0.24999998,-6.95061600,-0.01739714
0.49999997,-6.85172700,0.22158470
0.74999995,-6.71682300,0.42912950
0.99999993,-6.49340700,0.58509340
1.24999991,-6.24893200,0.73556340
1.49999990,-5.97362900,0.94310830
1.74999988,-5.72427000,1.17690100
1.99999986,-5.35007900,1.46777000
2.24999984,-5.05402300,1.82090100
2.49999983,-4.73690600,2.25705000
2.74999981,-4.41490700,2.75546300
2.99999979,-4.07703600,3.32132800
3.24999978,-3.74465900,3.94976200
3.49999976,-3.39122200,4.59345600
3.74999974,-3.02221900,5.25302200
3.99999972,-2.68465400,5.91777600
4.24999971,-2.27933100,6.59779000
4.49999969,-1.85325400,7.21065800
4.74999967,-1.44274200,7.74020200
4.99999966,-0.98034430,8.13484300
5.24999964,-0.51794650,8.41014500
5.49999962,0.01739714,8.43090000
5.74999960,0.60981570,8.19191700
5.99999959,1.22298900,7.72463700
6.24999957,1.82029100,7.37669400
6.49999955,2.34525700,7.20028100
6.74999953,2.78690000,7.12764000
6.99999952,3.23373200,7.09650800
7.24999950,3.64943200,7.04950500
7.49999948,3.98730300,6.89903500
7.74999947,4.37156600,6.71224500
7.99999945,4.71462600,6.40062200
8.24999943,5.05249600,5.95409600
8.49999941,5.38487300,5.38792600
8.74999940,5.75387600,4.72866500
8.99999938,6.06549900,3.88231000
9.24999936,6.37223800,3.01520000
9.49999935,6.59046500,2.13740700
9.74999933,6.82425800,1.31699400
9.99999931,6.92284200,0.66292270
10.24999929,6.95427900,0.18007570
10.49999928,6.89171000,-0.13673540
10.74999926,6.75680600,-0.37052860
10.99999924,6.55414500,-0.51581000
11.24999922,6.36704900,-0.67146870
11.49999921,6.08625300,-0.85337570
11.74999919,5.81095100,-1.10792300
11.99999917,5.48895100,-1.34141100
12.24999916,5.19258900,-1.69454300
12.49999914,4.84983500,-2.08399500
12.74999912,4.51196400,-2.60316200
12.99999910,4.17409300,-3.17452100
13.24999909,3.86247100,-3.76114000
13.49999907,3.50384600,-4.39476300
13.74999905,3.13514800,-5.03845700
13.99999904,2.80246600,-5.68764500
14.24999902,2.43865200,-6.36766000
14.49999900,1.99700900,-6.95458400
14.74999898,1.60206300,-7.49969500
14.99999897,1.12928800,-7.95659900
15.24999895,0.67207910,-8.26822100
15.49999893,0.16298380,-8.34086200
15.74999891,-0.37754850,-8.23708900
15.99999890,-1.00109900,-7.84244900
16.24999888,-1.60908300,-7.41148800
16.49999886,-2.17525300,-7.16731800
16.74999885,-2.64314500,-7.07392300
16.99999883,-3.04297400,-7.00647000
17.24999881,-3.44310800,-7.02722500
17.49999879,-3.84843100,-6.92345200
17.74999878,-4.20186800,-6.74673400
17.99999876,-4.54462200,-6.50805800
18.24999874,-4.91362500,-6.14454900
18.49999873,-5.26187300,-5.63575900
18.74999871,-5.58906100,-5.00732500
18.99999869,-5.90617800,-4.22323300
19.24999867,-6.22817700,-3.38725400
19.49999866,-6.51416200,-2.47344600
19.74999864,-6.73238900,-1.64784500
19.99999862,-6.88285900,-0.93639360
20.24999860,-6.94023900,-0.36534000
20.49999859,-6.90391900,0.02411183
20.74999857,-6.82059600,0.29941400
20.99999855,-6.63350000,0.46544990
21.24999854,-6.47784100,0.63179100
21.49999852,-6.19185700,0.77707240
21.74999850,-5.92693200,1.00567700
21.99999848,-5.63087500,1.22359900
22.24999847,-5.30857000,1.51965600
22.49999845,-4.97069900,1.92467300
22.74999843,-4.65907700,2.36601100
22.99999841,-4.33158300,2.90593300
23.24999840,-4.00439500,3.48766900
23.49999838,-3.65095800,4.12098600
23.74999836,-3.31339300,4.73385400
23.99999835,-2.94957900,5.42943500
24.24999833,-2.58057600,6.07343400
24.49999831,-2.19081900,6.74337700
24.74999829,-1.78580100,7.30924200
24.99999828,-1.35972400,7.81803200
25.24999826,-0.86588940,8.22304900
25.49999824,-0.37754850,8.40495700
25.74999823,0.17854960,8.38939100
25.99999821,0.76028570,8.08295600
26.24999819,1.38383600,7.63124100
26.49999817,1.97625400,7.30405300
26.74999816,2.44902900,7.19509200
26.99999814,2.89067300,7.11726300
27.24999812,3.30118400,7.07544900
27.49999810,3.71688400,6.99761900
27.74999809,4.08069800,6.88347000
27.99999807,4.43413500,6.62373300
28.24999805,4.79764400,6.31241600
28.49999804,5.14589200,5.79813200
28.74999802,5.48376300,5.25302200
28.99999800,5.84208300,4.48968400
29.24999798,6.12806700,3.70040300
