Time,Channel B,Channel C
(ms),(V),(V)

-0.49999997,-6.33744300,-2.48901200
-0.24999998,-6.50897300,-1.48150400
0.00000000,-6.54010500,-0.63514830
0.24999998,-6.49340700,0.03448907
0.49999997,-6.33225500,0.48620440
0.74999995,-6.05176400,0.80820410
0.99999993,-5.77096800,1.11982700
1.24999991,-5.42302500,1.49371300
1.49999990,-5.03845700,1.94542800
1.74999988,-4.66426600,2.54761300
1.99999986,-4.29007400,3.27463100
2.24999984,-3.86918600,4.08466600
2.49999983,-3.45348500,4.94139900
2.74999981,-3.06922200,5.85001800
2.99999979,-2.60651900,6.72781100
3.24999978,-2.17006500,7.58973300
3.49999976,-1.69729000,8.32712700
3.74999974,-1.19338300,8.93969000
3.99999972,-0.66841660,9.41216000
4.24999971,-0.09186912,9.62519800
4.49999969,0.55243560,9.45366900
4.74999967,1.25930900,8.96563200
4.99999966,1.97106600,8.52948400
5.24999964,2.54273000,8.31156200
5.49999962,3.01031600,8.20748300
5.74999960,3.49346800,8.07257900
5.99999959,3.93511200,7.89067300
6.24999957,4.33524600,7.55341200
6.49999955,4.73538000,7.10169700
6.74999953,5.12513700,6.47326300
6.99999952,5.45781900,5.66322800
7.24999950,5.80576200,4.69234500
7.49999948,6.07587600,3.60181900
7.74999947,6.33072900,2.48535000
7.99999945,6.50714200,1.49371300
8.24999943,6.54376700,0.61622510
8.49999941,6.46563300,-0.03815163
8.74999940,6.27334900,-0.46392380
8.99999938,6.04474400,-0.80148940
9.24999936,5.72793300,-1.14424400
9.49999935,5.39006200,-1.50225900
9.74999933,5.04212000,-1.95427900
9.99999931,4.65236200,-2.54608700
10.24999929,4.27817100,-3.23159600
10.49999928,3.91954600,-4.01568800
10.74999926,3.48828000,-4.91393000
10.99999924,3.08295700,-5.76028500
11.24999922,2.63093600,-6.60145300
11.49999921,2.21523600,-7.44262000
11.74999919,1.72689500,-8.19558000
11.99999917,1.24374300,-8.83927400
12.24999916,0.72396530,-9.30686100
12.49999914,0.14222930,-9.52997200
12.74999912,-0.50756930,-9.40544500
12.99999910,-1.21932600,-8.94335300
13.24999909,-1.88438500,-8.50201400
13.49999907,-2.46642700,-8.26822100
13.74999905,-2.98071100,-8.14888300
13.99999904,-3.45867400,-8.06586500
14.24999902,-3.87437400,-7.85282600
14.49999900,-4.29526300,-7.56195800
14.74999898,-4.71096300,-7.14137500
14.99999897,-5.05921100,-6.51843500
15.24999895,-5.39677700,-5.72915400
15.49999893,-5.73983600,-4.78940300
15.74999891,-6.07251800,-3.74038600
15.99999890,-6.26999100,-2.63429400
16.24999888,-6.47784100,-1.60114800
16.49999886,-6.54010500,-0.72366010
16.74999885,-6.50378500,-0.07447198
16.99999883,-6.34263200,0.38762060
17.24999881,-6.09846200,0.76150650
17.49999879,-5.80210000,1.08350600
17.74999878,-5.46453400,1.44182600
17.99999876,-5.12666300,1.88316400
18.24999874,-4.73690600,2.45421800
18.49999873,-4.33158300,3.13453800
18.74999871,-3.95769700,3.95495100
18.99999869,-3.52124300,4.80649500
19.24999867,-3.11592000,5.70992600
19.49999866,-2.70022000,6.58741300
19.74999864,-2.24819900,7.42858000
19.99999862,-1.78580100,8.20748300
20.24999860,-1.28159000,8.87223800
20.49999859,-0.73098520,9.37583900
20.74999857,-0.19564150,9.57850100
20.99999855,0.46422900,9.50036600
21.24999854,1.15523100,9.03827400
21.49999852,1.85172700,8.58136900
21.74999850,2.44384100,8.34788100
21.99999848,2.96880700,8.24380400
22.24999847,3.45195900,8.11408800
22.49999845,3.87284800,7.94805200
22.74999843,4.27817100,7.62605300
22.99999841,4.67311700,7.18990300
23.24999840,5.05768500,6.56147000
23.49999838,5.41600500,5.78775500
23.74999836,5.74868700,4.82206100
23.99999835,6.06549900,3.76266600
24.24999833,6.29929200,2.68282200
24.49999831,6.49157600,1.62861700
24.74999829,6.53857900,0.73556340
24.99999828,6.51233100,0.08118667
25.24999826,6.32554000,-0.41203760
25.49999824,6.08625300,-0.77035770
25.74999823,5.77981900,-1.08167500
25.99999821,5.44713700,-1.44518400
26.24999819,5.08881700,-1.88652200
26.49999817,4.70943700,-2.45269200
26.74999816,4.35600000,-3.12232900
26.99999814,3.95586600,-3.93236500
27.24999812,3.54566000,-4.78940300
27.49999810,3.09333400,-5.66170200
27.74999809,2.72463700,-6.51843500
27.99999807,2.25674500,-7.34922500
28.24999805,1.79953600,-8.13331700
28.49999804,1.30600700,-8.75625700
28.74999802,0.78134540,-9.27023500
28.99999800,0.19411550,-9.50402800
29.24999798,-0.42943470,-9.42619900
